Title;Citation;Filename;Cohort;Gait Task;Dual-layer cap;Type of EEG electrodes;Gait measurement system;Flow of preprocessing steps;corrected_keywords_VV;Artifactrej_methods
Electrocortical theta activity may reflect sensory prediction errors during adaptation to a gradual gait perturbation;Jacobsen, N.A., et al., 2024;PMC11162180.pdf;Healthy adults;Treadmill walking;Yes;Active electrodes;"Force-based;OMC";"1. High-pass filtering at 1 Hz to attenuate slow drift.
2. Re-referencing scalp, muscle, and noise channels using the average across channels.
3. Applying iCanClean to remove motion and muscle artifacts.
4. Removing 60 Hz line noise using CleanLine.
5. Removing bad channels based on statistical criteria.
6. Rejecting noisy time windows and channels using clean_artifacts.
7. Re-referencing data to the common average.
8. Decomposing data into independent components using adaptive mixture independent component analysis.
9. Down-sampling component data to 256 Hz and computing equivalent dipole models.
10. Excluding artifact components based on specific criteria.
11. Group clustering using k-means.";['raw_data', 'highpass_filter', 're_reference', 'artifact_rejection', 'notch_filter', 'artifact_rejection', 're_reference', 'IC_decomposition', 'IC_rejection', 'downsample', 'dipole_fitting', 'clustering'];iCanClean, clean_artifacts, bad_channel_removal
Study of the Brain Functional Connectivity Processes During Multi-Movement States of the Lower Limbs;Wei, P., et al., 2024;PMC11548552.pdf;Healthy adults;Treadmill walking;No;Active electrodes;OMC;"1. Excluded reference and EOG channels.
2. Bandpass-filtered EEG channels at 0.1-50 Hz.
3. Removed channels with high standard deviation (>1000 µV) or kurtosis (>5 standard deviations from the mean).
4. Channel average re-referencing.
5. Applied Artifact Subspace Reconstruction (ASR) to remove muscle and electrode artifacts.
6. Removed channels flat for more than 5 seconds.
7. Set threshold for channel cross-correlation at 0.7 and SD value for repair bursts at 10.
8. Conducted Independent Component Analysis (ICA) using Infomax algorithm to remove ocular artifacts.
9. Used channel interpolation as part of ICA process.";['raw_data', 'channel_removal', 'bandpass_filter', 'artifact_rejection', 're_reference', 'artifact_rejection', 'IC_decomposition', 'IC_rejection','artifact_rejection'];ASR, bad_channel_removal, eye_artifact_correction
Exploring Electrocortical Signatures of Gait Adaptation: Differential Neural Dynamics in Slow and Fast Gait Adapters;Jacobsen, N. A., et al., 2024;PMC11242882.pdf;Healthy adults;Treadmill walking;Yes;Active electrodes;"Force-based;OMC";"1. High-pass filtering at 1 Hz to mitigate slow drift.
2. Re-referencing scalp, muscle, and noise channels using the average across channels after removing bad channels.
3. Using the iCanClean algorithm to reduce motion and muscle artifacts through three cleaning cycles.
4. Eliminating 60 Hz line noise using cleanline().
5. Excluding bad channels based on statistical criteria.
6. Rejecting noisy time windows and channels using clean_artifacts().
7. Re-referencing EEG data to the common average.
8. Decomposing preprocessed data using adaptive mixture independent component analysis (ICA).
9. Downsampling component data and computing equivalent dipole models for each independent component.
10. Grouping components using k-means clustering.";['raw_data','highpass_filter','artifact_rejection', 're_reference', 'artifact_rejection', 'notch_filter', 'artifact_rejection', 're_reference', 'IC_decomposition',  'IC_rejection','downsample','dipole_fitting', 'clustering'];iCanClean, clean_artifacts, clean_rawdata, bad_channel_removal
The speed and phase of locomotion dictate saccade probability and simultaneous low-frequency power spectra;Barnes, L., et al., 2024;PMC11845409.pdf;Healthy adults;Overground walking;No;Passive electrodes;OMC;"1. Re-referencing: EEGs were re-referenced to the average of A1 and A2.
2. Bandpass filtering: Data was filtered between 0.1 and 40 Hz.
3. Channel removal: Bad channels were removed using pyprep deviation and correlation metrics.
4. Epoching: Trials were epoched -100 ms to 6,500 ms relative to trial onset.
5. Baseline correction: Baseline correction was applied using the 100-ms pre-trial period.
6. Outlier removal: Outliers were excluded based on standard deviation exceeding 1.5 interquartile ranges.
7. Multiple comparison correction: Non-parametric cluster-based permutation tests were used.";['raw_data', 're_reference','bandpass_filter', 'artifact_rejection', 'epoching',  'baseline_correction'];bad_channel_removal
Cortical Correlates of Gait Compensation Strategies in Parkinson Disease;Tosserams, A., et al., 2022;PMC9306676.pdf;People with Parkinson's disease;Treadmill walking;No;Active electrodes;OMC;"1. Bandpass filtering between 2 and 200Hz (5,120th order finite impulse response filter, Hamming window, zero-phase shift).
2. Downsampled to 512Hz.
3. Channel rejection using clean_rawdata plugin (v2.3) for low correlation (<0.6) and artifact subspace reconstruction (ASR v0.13; threshold: SD = 15).
4. Artifact removal using pop_jointprob function (threshold: SD = 6).
5. Independent component analysis (ICA) using Infomax.
6. Visual inspection of independent components with <15% residual variance to exclude nonbrain activity.
7. Segmentation according to participant-specific mean gait cycle duration for PSD and spectrogram computation.";['raw_data','bandpass_filter','downsample','artifact_rejection','IC_decomposition',  'IC_rejection'];clean_rawdata, ASR, epoch_rejection
Cortical networks of parkinsonian gait: a metabolic and functional connectivity study;Pellegrini, F., et al., 2024;PMC11514930.pdf;People with Parkinson's disease;Overground walking;No;Not mentioned;"IMU;EMG";"1. Resample EEG data to 125 Hz.
2. Apply zero-phase lowpass filter at 45 Hz and highpass filter at 1 Hz.
3. Eliminate line noise using a zero-phase bandstop filter (47-53 Hz).
4. Identify and remove artifactual channels and segments using automated artifact rejection.
5. Manually detect remaining artifacts by inspecting topographic plots of alpha power.
6. Replace artifactual channels with spherical spline interpolation.
7. Remove artifactual segments for ICA but preserve for subsequent analyses.
8. Remove eye movements by regressing out time series of FP1 and FP2 electrodes.
9. Apply artifact subspace reconstruction.
10. Conduct ICA using runica and reject eye, heart, and muscle components.
11. Re-reference EEG data to a common-average reference.";['raw_data', 'downsample','lowpass_filter','highpass_filter' ,'notch_filter','artifact_rejection', 'IC_decomposition', 'IC_rejection', 're_reference'];automated_rejection, bad_channel_interpolation, eye_artifact_correction, ASR
Frequency-dependent modulation of neural oscillations across the gait cycle;Zhao, M., et al., 2022;PMC9248303.pdf;Healthy adults;Treadmill walking;No;Not mentioned;IMU;"1. Corrected hdEEG data for bad channels.
2. Digitally filtered data in the band [1-80] Hz.
3. Downsampled data to 200 Hz.
4. Applied multi-step blind source separation (BSS) approach:
   - Step 1: Used FastICA-defl to identify ocular artifacts.
   - Step 2: Used FastICA-symm to identify movement artifacts.
   - Step 3: Used independent vector analysis to identify myogenic artifacts.
5. Re-referenced data to the average reference.";['raw_data','channel_removal','bandpass_filter', 'downsample', 'IC_decomposition', 'IC_rejection', 're_reference'];bad_channel_removal, eye_artifact_correction
Motor imagery ability scores are related to cortical activation during gait imagery;Putzolu, M., et al., 2024;PMC10909887.pdf;Healthy adults;Others;No;Active electrodes;NA;"1. Identify and correct noisy channels by interpolating their time course from adjacent channels.
2. Band-pass filter signals using EEGlab software (1 ÷ 80 Hz).
3. Reject ocular and muscular artifacts using Independent Component Analysis (ICA).
4. Classify ICs based on correlation with vEOG/hEOG, coefficient of determination, and kurtosis.
5. Subtract bad ICs from hdEEG data.
6. Apply despiking on 0.2 s consecutive windows as needed.
7. Re-reference cleaned hdEEG recordings using average re-reference (AR) technique.";['raw_data','bad_channel_detection', 'artifact_rejection','bandpass_filter', 'IC_decomposition', 'IC_rejection','despiking', 're_reference'];bad_channel_interpolation, eye_artifact_correction
Auditory Cue Effects on Gait-Phase-Dependent Electroencephalogram (EEG) Modulations during Overground and Treadmill Walking;Tharawadeepimu, K., et al., 2024;PMC10934684.pdf;Healthy adults;Treadmill walking and Overground walking;No;Active electrodes;IMU;"1. Bandpass filtering (0.5-100 Hz for delta band, 4.5-100 Hz for theta band, 8-100 Hz for alpha band, 13-100 Hz for beta band) using a fourth-order Butterworth filter.
2. Notch filtering at 50 Hz using a fourth-order Butterworth filter.
3. ICA decomposition using 'fastICA' algorithm:
   - Centering (remean)
   - Decorrelation (covariance matrix)
   - Principal Component Analysis (PCA)
   - Normalization (whitening)
   - ICA (fpica)
4. Removal of artifact ICs (ocular, glossokinetic, muscular).
5. Low-pass filtering (4 Hz cutoff for delta band, 7.5 Hz cutoff for theta band, 12 Hz cutoff for alpha band, 30 Hz cutoff for beta band) using a fourth-order Butterworth filter.
6. Amplitude normalization to local peak value.
7. Time normalization to 100 data points.";['raw_data', 'bandpass_filter', 'notch_filter', 'IC_decomposition','artifact_rejection', 'IC_rejection', 'lowpass_filter', 'normalization'];NA
Association between gait speed deterioration and EEG abnormalities;Garcı´a-Agustin, D., et al., 2024;PMC11149873.pdf;Healthy adults;Overground walking;No;Not mentioned;NA;"1. EEG recording using a 32-channel system with electrodes placed according to the international 10/20 placement system.
2. Acquisition parameters: gain of 10,000, pass-band filters between 0.3-30 Hz, sampling rate of 200 Hz.
3. Participants asked to close and open their eyes to explore reactivity and avoid drowsiness.
4. Manual selection of artifact-free segments by an expert electroencephalographer.
5. Quantitative frequency analysis using Fast Fourier Transform (FFT).
6. Calculation of power spectra from 0.39 to 19.11 Hz at steps of 0.39 Hz.
7. Calculation of Absolute Power (AP) in delta, theta, alpha, and beta frequency bands.
8. Comparison of individual AP against Cuban normative data using Z-transformed statistic.";['raw_data', 'artifact_rejection'];manual_selection
